dataset,component_rank,component_size
BOT_REQUESTS,1,519
BOT_REQUESTS,2,3
BOT_REQUESTS,3,3
BOT_REQUESTS,4,2
BOT_REQUESTS,5,1
BOT_REQUESTS,6,1
BOT_REQUESTS,7,1
BOT_REQUESTS,8,1
BOT_REQUESTS,9,1
BOT_REQUESTS,10,1
PROPERTY_PROPOSAL,1,3051
PROPERTY_PROPOSAL,2,1
PROPERTY_PROPOSAL,3,1
PROPERTY_PROPOSAL,4,1
PROPERTY_PROPOSAL,5,1
PROPERTY_PROPOSAL,6,1
PROPERTY_PROPOSAL,7,1
PROPERTY_PROPOSAL,8,1
REQUEST_FOR_DELETION,1,9870
REQUEST_FOR_DELETION,2,3
REQUEST_FOR_DELETION,3,2
REQUEST_FOR_DELETION,4,2
REQUEST_FOR_DELETION,5,2
REQUEST_FOR_DELETION,6,2
REQUEST_FOR_DELETION,7,2
REQUEST_FOR_DELETION,8,2
REQUEST_FOR_DELETION,9,2
REQUEST_FOR_DELETION,10,1
