dataset,baseline_type,nodes,edges,density,average_clustering,transitivity,connected_components,largest_component_size,largest_component_share,average_path_length_lcc,average_path_length_method,diameter_lcc,diameter_method,mean_degree_centrality,max_degree_centrality,mean_betweenness_centrality,max_betweenness_centrality,betweenness_method,random_seed,random_density,random_average_clustering,random_transitivity,random_connected_components,random_largest_component_size,random_average_path_length_lcc,random_average_path_length_method,random_diameter_lcc,random_diameter_method,clustering_ratio_vs_random,path_ratio_vs_random,small_world_sigma,baseline_run
BOT_REQUESTS,gnm_random_graph_seed_42,552,2424,0.015939398721691787,0.6576402779180823,0.17452249325333402,29,519,0.9402173913043478,2.60280759702725,exact,6.0,exact,0.015939398721691787,0.4101633393829401,0.0025758771332037326,0.2582434709305614,exact,42,0.015939398721691787,0.01576047907948231,0.015425255908297561,1,552,3.1420079433967225,exact,5.0,exact,41.72717558911185,0.828389884404124,50.37142096336313,1
BOT_REQUESTS,gnm_random_graph_seed_314,552,2424,0.015939398721691787,0.6576402779180823,0.17452249325333402,29,519,0.9402173913043478,2.60280759702725,exact,6.0,exact,0.015939398721691787,0.4101633393829401,0.0025758771332037326,0.2582434709305614,exact,314,0.015939398721691787,0.01927796941383898,0.0161192356211746,1,552,3.1406336305531446,exact,6.0,exact,34.11356579111415,0.8287523803178629,41.1625554282331,2
BOT_REQUESTS,gnm_random_graph_seed_2718,552,2424,0.015939398721691787,0.6576402779180823,0.17452249325333402,29,519,0.9402173913043478,2.60280759702725,exact,6.0,exact,0.015939398721691787,0.4101633393829401,0.0025758771332037326,0.2582434709305614,exact,2718,0.015939398721691787,0.016018552734463353,0.01648119453444147,1,552,3.1438491280675454,exact,5.0,exact,41.05491231446848,0.8279047406537408,49.58893251662042,3
PROPERTY_PROPOSAL,gnm_random_graph_seed_42,3058,46154,0.009874302360235105,0.814376570770028,0.1394331423229317,8,3051,0.9977109221713538,2.3841952383255154,exact,5.0,exact,0.009874302360235105,0.45763820739286887,0.0004500371634296511,0.11304261803672883,sampled_k_245,42,0.009874302360235105,0.010117569284011427,0.010098353304386446,1,3058,2.7260115362077366,exact,4.0,exact,80.49132631658568,0.8746093722120724,92.0311728572106,1
PROPERTY_PROPOSAL,gnm_random_graph_seed_314,3058,46154,0.009874302360235105,0.814376570770028,0.1394331423229317,8,3051,0.9977109221713538,2.3841952383255154,exact,5.0,exact,0.009874302360235105,0.45763820739286887,0.00044290555947872507,0.12519470620777606,sampled_k_245,314,0.009874302360235105,0.009950722730498794,0.009928391841679724,1,3058,2.7256345695145194,exact,4.0,exact,81.84094691674785,0.8747303343566633,93.56134536815773,2
PROPERTY_PROPOSAL,gnm_random_graph_seed_2718,3058,46154,0.009874302360235105,0.814376570770028,0.1394331423229317,8,3051,0.9977109221713538,2.3841952383255154,exact,5.0,exact,0.009874302360235105,0.45763820739286887,0.0004511595110369656,0.1273563856893903,sampled_k_245,2718,0.009874302360235105,0.01005116512376168,0.0100069782769752,1,3058,2.7258510793292388,exact,4.0,exact,81.02310137605669,0.8746608559819797,92.63373434620237,3
REQUEST_FOR_DELETION,gnm_random_graph_seed_42,9935,33497,0.0006788032012794256,0.39195151978191595,0.014012985371831791,57,9870,0.9934574735782586,2.7269769131877597,sampled_bfs,5.0,approximation,0.0006788032012794256,0.4972820616066036,0.0001685474805380062,0.4896611194678469,sampled_k_256,42,0.0006788032012794256,0.0004432006806263001,0.000505538753536554,11,9925,5.029122896513503,sampled_bfs,9.0,approximation,884.3657893937292,0.5422370797655925,1630.9577902271785,1
REQUEST_FOR_DELETION,gnm_random_graph_seed_314,9935,33497,0.0006788032012794256,0.39195151978191595,0.014012985371831791,57,9870,0.9934574735782586,2.7053462863512006,sampled_bfs,6.0,approximation,0.0006788032012794256,0.4972820616066036,0.000169947266296716,0.5167335931005854,sampled_k_256,314,0.0006788032012794256,0.0006148883828803305,0.0006524575902566333,12,9923,4.993652835869784,sampled_bfs,9.0,approximation,637.4352332790738,0.5417569813661244,1176.6073261699034,2
REQUEST_FOR_DELETION,gnm_random_graph_seed_2718,9935,33497,0.0006788032012794256,0.39195151978191595,0.014012985371831791,57,9870,0.9934574735782586,2.716939960355659,sampled_bfs,6.0,approximation,0.0006788032012794256,0.4972820616066036,0.0001688050965157222,0.5009085560628158,sampled_k_256,2718,0.0006788032012794256,0.0005268153531867673,0.000568655196582779,23,9913,5.0192679958636,sampled_bfs,9.0,approximation,744.0017027046681,0.5413020310122314,1374.4668596816266,3
