dataset,scenario,rank,username,min_shortest_path_to_infected,direct_shared_context_count,infected_neighbor_count,degree_centrality,priority_score
BOT_REQUESTS,one_infected,1,Yamaha5,1,1,1,0.017374517374517374,6.517374517374518
BOT_REQUESTS,one_infected,2,Emaus,1,1,1,0.015444015444015444,6.515444015444015
BOT_REQUESTS,one_infected,3,Pasleim,2,0,0,0.4362934362934363,1.7696267696267696
BOT_REQUESTS,one_infected,4,Jura1,2,0,0,0.38223938223938225,1.7155727155727156
BOT_REQUESTS,one_infected,5,Matěj Suchánek,2,0,0,0.29343629343629346,1.6267696267696268
BOT_REQUESTS,one_infected,6,ValterVB,2,0,0,0.1891891891891892,1.5225225225225225
BOT_REQUESTS,one_infected,7,Multichill,2,0,0,0.15830115830115832,1.4916344916344917
BOT_REQUESTS,one_infected,8,Ricordisamoa,2,0,0,0.1312741312741313,1.4646074646074645
BOT_REQUESTS,one_infected,9,Nikki,2,0,0,0.10231660231660232,1.4356499356499355
BOT_REQUESTS,one_infected,10,GZWDer,2,0,0,0.09073359073359073,1.424066924066924
BOT_REQUESTS,two_infected,1,Ricordisamoa,1,1,1,0.1312741312741313,6.6312741312741315
BOT_REQUESTS,two_infected,2,Docu,1,1,1,0.08494208494208494,6.584942084942085
BOT_REQUESTS,two_infected,3,Hazard-SJ,1,1,1,0.055984555984555984,6.555984555984556
BOT_REQUESTS,two_infected,4,Akkakk,1,1,1,0.04054054054054054,6.54054054054054
BOT_REQUESTS,two_infected,5,Yamaha5,1,1,1,0.017374517374517374,6.517374517374518
BOT_REQUESTS,two_infected,6,Emaus,1,1,1,0.015444015444015444,6.515444015444015
BOT_REQUESTS,two_infected,7,Pasleim,2,0,0,0.4362934362934363,1.7696267696267696
BOT_REQUESTS,two_infected,8,Jura1,2,0,0,0.38223938223938225,1.7155727155727156
BOT_REQUESTS,two_infected,9,Matěj Suchánek,2,0,0,0.29343629343629346,1.6267696267696268
BOT_REQUESTS,two_infected,10,ValterVB,2,0,0,0.1891891891891892,1.5225225225225225
PROPERTY_PROPOSAL,one_infected,1,Fralambert,1,3,1,0.10426229508196722,9.604262295081968
PROPERTY_PROPOSAL,one_infected,2,ديفيد عادل وهبة خليل 2,1,2,1,0.42918032786885246,8.429180327868853
PROPERTY_PROPOSAL,one_infected,3,ArthurPSmith,1,1,1,0.45868852459016396,6.958688524590164
PROPERTY_PROPOSAL,one_infected,4,Pigsonthewing,1,1,1,0.4104918032786885,6.910491803278688
PROPERTY_PROPOSAL,one_infected,5,Jura1,1,1,1,0.3881967213114754,6.888196721311475
PROPERTY_PROPOSAL,one_infected,6,Thierry Caro,1,1,1,0.28327868852459015,6.78327868852459
PROPERTY_PROPOSAL,one_infected,7,Nomen ad hoc,1,1,1,0.18950819672131147,6.689508196721311
PROPERTY_PROPOSAL,one_infected,8,Tinker Bell,1,1,1,0.1737704918032787,6.673770491803278
PROPERTY_PROPOSAL,one_infected,9,Mahir256,1,1,1,0.1701639344262295,6.670163934426229
PROPERTY_PROPOSAL,one_infected,10,Epìdosis,1,1,1,0.12491803278688525,6.624918032786885
PROPERTY_PROPOSAL,two_infected,1,Fralambert,1,3,1,0.10426229508196722,9.604262295081968
PROPERTY_PROPOSAL,two_infected,2,ArthurPSmith,1,2,2,0.45868852459016396,11.458688524590164
PROPERTY_PROPOSAL,two_infected,3,Tinker Bell,1,2,2,0.1737704918032787,11.173770491803278
PROPERTY_PROPOSAL,two_infected,4,ديفيد عادل وهبة خليل 2,1,2,1,0.42918032786885246,8.429180327868853
PROPERTY_PROPOSAL,two_infected,5,Pigsonthewing,1,1,1,0.4104918032786885,6.910491803278688
PROPERTY_PROPOSAL,two_infected,6,Jura1,1,1,1,0.3881967213114754,6.888196721311475
PROPERTY_PROPOSAL,two_infected,7,Thierry Caro,1,1,1,0.28327868852459015,6.78327868852459
PROPERTY_PROPOSAL,two_infected,8,Nomen ad hoc,1,1,1,0.18950819672131147,6.689508196721311
PROPERTY_PROPOSAL,two_infected,9,Mahir256,1,1,1,0.1701639344262295,6.670163934426229
PROPERTY_PROPOSAL,two_infected,10,Epìdosis,1,1,1,0.12491803278688525,6.624918032786885
REQUEST_FOR_DELETION,one_infected,1,BeneBot*,1,6,1,0.4412807781943459,14.441280778194345
REQUEST_FOR_DELETION,one_infected,2,Cycn,2,0,0,0.12240348566217449,1.4557368189955078
REQUEST_FOR_DELETION,one_infected,3,MisterSynergy,2,0,0,0.07214510082075185,1.4054784341540851
REQUEST_FOR_DELETION,one_infected,4,Lymantria,2,0,0,0.0716384638767859,1.4049717972101192
REQUEST_FOR_DELETION,one_infected,5,Ymblanter,2,0,0,0.06484952882764211,1.3981828621609753
REQUEST_FOR_DELETION,one_infected,6,분당선M,2,0,0,0.06403890971729659,1.39737224305063
REQUEST_FOR_DELETION,one_infected,7,Stryn,2,0,0,0.05218360522849326,1.3855169385618264
REQUEST_FOR_DELETION,one_infected,8,Mbch331,2,0,0,0.051069003951768166,1.3844023372851013
REQUEST_FOR_DELETION,one_infected,9,Jura1,2,0,0,0.05046103961900902,1.3837943729523423
REQUEST_FOR_DELETION,one_infected,10,Wiki13,2,0,0,0.04569865234572905,1.3790319856790623
REQUEST_FOR_DELETION,two_infected,1,BeneBot*,1,6,1,0.4412807781943459,14.441280778194345
REQUEST_FOR_DELETION,two_infected,2,DeltaBot,1,1,1,0.5005573006383626,7.000557300638363
REQUEST_FOR_DELETION,two_infected,3,MisterSynergy,1,1,1,0.07214510082075185,6.572145100820752
REQUEST_FOR_DELETION,two_infected,4,Peter James,1,1,1,0.03556591346640997,6.53556591346641
REQUEST_FOR_DELETION,two_infected,5,Cycn,2,0,0,0.12240348566217449,1.4557368189955078
REQUEST_FOR_DELETION,two_infected,6,Lymantria,2,0,0,0.0716384638767859,1.4049717972101192
REQUEST_FOR_DELETION,two_infected,7,Ymblanter,2,0,0,0.06484952882764211,1.3981828621609753
REQUEST_FOR_DELETION,two_infected,8,분당선M,2,0,0,0.06403890971729659,1.39737224305063
REQUEST_FOR_DELETION,two_infected,9,Quakewoody,2,0,0,0.05775661161211876,1.3910899449454521
REQUEST_FOR_DELETION,two_infected,10,Stryn,2,0,0,0.05218360522849326,1.3855169385618264
