dataset,step,infected_mean,infected_p90,recovered_mean,susceptible_mean
BOT_REQUESTS,0,2.0,2.0,0.0,517.0
BOT_REQUESTS,1,2.332,4.0,0.612,516.056
BOT_REQUESTS,2,7.34,18.099999999999994,1.332,510.328
BOT_REQUESTS,3,45.928,111.0,3.432,469.64
BOT_REQUESTS,4,129.768,231.0,17.076,372.156
BOT_REQUESTS,5,181.096,245.1,56.088,281.816
BOT_REQUESTS,6,183.996,241.0,110.744,224.26
PROPERTY_PROPOSAL,0,2.0,2.0,0.0,3049.0
PROPERTY_PROPOSAL,1,3.584,6.0,0.616,3046.8
PROPERTY_PROPOSAL,2,372.884,662.8,1.668,2676.448
PROPERTY_PROPOSAL,3,1665.844,1941.0,112.928,1272.228
PROPERTY_PROPOSAL,4,1731.436,1899.3,611.584,707.98
PROPERTY_PROPOSAL,5,1413.98,1590.3,1129.764,507.256
PROPERTY_PROPOSAL,6,1074.52,1210.0,1553.272,423.208
REQUEST_FOR_DELETION,0,2.0,2.0,0.0,9868.0
REQUEST_FOR_DELETION,1,2.188,3.0,0.564,9867.248
REQUEST_FOR_DELETION,2,846.824,1611.0,1.248,9021.928
REQUEST_FOR_DELETION,3,1712.352,3001.2,255.384,7902.264
REQUEST_FOR_DELETION,4,2303.276,3256.2,769.632,6797.092
REQUEST_FOR_DELETION,5,2271.06,3052.2,1458.44,6140.5
REQUEST_FOR_DELETION,6,2003.232,2757.8999999999996,2141.54,5725.228
