step,S,I,R,dataset
0,9933,2,0,REQUEST_FOR_DELETION
1,9931,4,0,REQUEST_FOR_DELETION
2,6943,2991,1,REQUEST_FOR_DELETION
3,4155,5421,359,REQUEST_FOR_DELETION
4,1869,7062,1004,REQUEST_FOR_DELETION
5,1034,7039,1862,REQUEST_FOR_DELETION
6,654,6565,2716,REQUEST_FOR_DELETION
7,455,5947,3533,REQUEST_FOR_DELETION
8,379,5280,4276,REQUEST_FOR_DELETION
0,3056,2,0,PROPERTY_PROPOSAL
1,3001,57,0,PROPERTY_PROPOSAL
2,1636,1414,8,PROPERTY_PROPOSAL
3,146,2756,156,PROPERTY_PROPOSAL
4,35,2553,470,PROPERTY_PROPOSAL
5,20,2282,756,PROPERTY_PROPOSAL
6,16,2056,986,PROPERTY_PROPOSAL
7,16,1832,1210,PROPERTY_PROPOSAL
8,15,1628,1415,PROPERTY_PROPOSAL
0,550,2,0,BOT_REQUESTS
1,542,10,0,BOT_REQUESTS
2,386,165,1,BOT_REQUESTS
3,157,377,18,BOT_REQUESTS
4,83,406,63,BOT_REQUESTS
5,57,388,107,BOT_REQUESTS
6,49,339,164,BOT_REQUESTS
7,45,301,206,BOT_REQUESTS
8,44,263,245,BOT_REQUESTS
